date,trip_count
2019-10-05,10452
2019-10-01,18425
2019-10-04,14570
2019-10-02,9882
2019-10-03,15647
2019-10-08,17537
2019-10-06,13396
2019-10-07,17256
2019-10-09,17226
2019-10-14,13785
2019-10-12,8702
2019-10-10,15795
2019-10-13,10533
2019-10-11,8016
2019-10-15,13297
2019-10-17,13635
2019-10-16,12886
2019-10-18,14096
2019-10-24,12390
2019-10-22,11011
2019-10-21,11757
2019-10-20,10419
2019-10-23,13011
2019-10-19,13953
2019-10-30,4335
2019-10-28,11780
2019-10-25,11910
2019-10-26,3326
2019-10-27,9422
2019-10-29,9876
2019-11-01,7312
2019-11-05,10013
2019-11-08,6772
2019-11-02,5271
2019-10-31,3460
2019-11-03,6096
2019-11-04,11067
2019-11-07,7506
2019-11-06,9571
2019-11-18,7795
2019-11-09,5396
2019-11-15,6137
2019-11-14,5539
2019-11-13,4139
2019-11-19,7456
2019-11-11,2174
2019-11-12,3471
2019-11-17,3507
2019-11-10,4648
2019-11-16,4260
2019-11-21,6717
2019-11-27,4340
2019-11-22,7612
2019-11-28,1575
2019-11-23,4434
2019-11-24,5041
2019-11-29,3073
2019-11-26,6437
2019-11-25,9074
2019-12-01,1887
2019-11-30,1538
2019-12-02,6964
2019-11-20,9205
2019-12-10,5388
2019-12-04,8200
2019-12-08,3975
2019-12-05,8788
2019-12-11,4862
2019-12-07,4162
2019-12-03,7684
2019-12-06,7221
2019-12-09,6948
2019-12-18,4762
2019-12-22,3953
2019-12-14,3511
2019-12-23,5540
2019-12-16,5765
2019-12-15,2645
2019-12-20,5778
2019-12-13,7485
2019-12-19,5691
2019-12-17,5973
2019-12-12,6628
2019-12-21,3851
2019-12-28,2768
2019-12-29,3902
2019-12-25,2420
2019-12-27,3981
2019-12-30,3308
2019-12-26,5801
2019-12-31,2189
2019-12-24,3062
2020-01-21,5187
2020-01-17,3858
2020-01-25,1728
2020-01-10,5697
2020-01-24,3657
2020-01-04,3187
2020-01-11,965
2020-01-13,6155
2020-01-28,6676
2020-01-22,5514
2020-01-03,5890
2020-01-07,7297
2020-01-05,3035
2020-01-06,7073
2020-01-27,6314
2020-01-30,6576
2020-01-12,1766
2020-01-19,895
2020-01-23,3613
2020-01-16,5495
2020-01-02,6479
2020-01-09,6804
2020-01-31,5428
2020-01-15,6933
2020-01-26,2542
2020-01-20,2932
2020-01-18,1076
2020-01-01,2141
2020-01-14,7067
2020-01-08,5449
2020-01-29,6455
2020-02-15,1842
2020-02-04,6162
2020-02-12,4913
2020-02-11,6472
2020-02-25,4986
2020-02-09,1817
2020-02-23,7765
2020-02-21,5509
2020-02-27,5704
2020-02-19,5730
2020-02-01,3204
2020-02-08,3239
2020-02-20,4903
2020-02-22,5455
2020-02-10,6328
2020-02-05,5371
2020-02-24,6723
2020-02-06,3247
2020-02-18,6618
2020-02-29,3637
2020-02-16,2930
2020-02-17,3605
2020-02-13,3035
2020-02-14,2993
2020-02-28,5348
2020-02-02,5417
2020-02-26,4107
2020-02-03,7278
2020-02-07,5247
2020-03-13,7077
2020-03-07,6703
2020-03-09,4505
2020-03-10,7827
2020-03-11,7631
2020-03-29,1461
2020-03-21,2126
2020-03-03,8218
2020-03-05,8269
2020-03-06,6138
2020-03-25,5161
2020-03-02,8335
2020-03-22,1321
2020-03-08,11170
2020-03-30,1938
2020-03-17,4398
2020-03-27,1490
2020-03-12,8349
2020-03-19,2002
2020-03-16,3626
2020-03-01,7413
2020-03-15,3318
2020-03-26,1664
2020-03-31,1622
2020-03-20,2331
2020-03-23,1966
2020-03-28,1443
2020-03-04,8396
2020-03-14,2979
2020-03-24,2431
2020-03-18,2110
