Country,GDP,GPD_growth,Interest_rate,Inflation_rate,Jobless_rate,Gov_budget,Debt/GDP,Current_account,Population
United States,27721,-0.30,4.50,2.40,4.20,-6.20,122.30,-3.90,341.15
China,17795,1.20,3.10,-0.10,5.20,-5.80,83.40,2.20,1408.00
Euro Area,15781,0.40,2.40,2.20,6.20,-3.10,87.40,2.80,350.17
Germany,4526,0.20,2.40,2.10,6.30,-2.80,62.50,5.70,84.70
Japan,4204,0.60,0.50,3.60,2.50,-5.50,255.20,4.70,123.59
India,3568,1.60,6.00,3.34,7.90,-5.87,81.59,-1.20,1386.18
United Kingdom,3381,0.10,4.25,2.60,4.40,-4.80,95.90,-2.70,68.27
France,3052,0.10,2.40,0.80,7.30,-5.80,113.00,0.40,68.44
Italy,2301,0.30,2.40,2.00,6.00,-3.40,135.30,1.10,58.97
Brazil,2174,0.20,14.75,5.48,7.00,-8.50,84.68,-2.55,212.58
Canada,2142,0.60,2.75,2.30,6.70,-1.40,107.50,-1.00,41.53
Russia,2021,-0.80,21.00,10.30,2.30,-1.70,16.40,2.50,146.20
Mexico,1789,0.20,9.00,3.93,2.20,-5.70,49.70,-0.80,129.74
